,ligands,receptors,interaction_name,LR_score,celltype,Pvalue,FDR
EFNA1-ARF6,EFNA1,ARF6,EFNA1-ARF6,4.283854675951492,udTE,0.001,0.012785714285714286
EGF-ADAM10,EGF,ADAM10,EGF-ADAM10,2.0612367563186433,mmTE,0.001,0.012785714285714286
LGALS3BP-CD9,LGALS3BP,CD9,LGALS3BP-CD9,1.7529692713198126,udTE,0.001,0.012785714285714286
EGF-LRP2,EGF,LRP2,EGF-LRP2,1.6384067643798264,mmTE,0.001,0.012785714285714286
TF-LRP2,TF,LRP2,TF-LRP2,0.994963083388688,mmTE,0.001,0.012785714285714286
THBS2-CD47,THBS2,CD47,THBS2-CD47,0.969429781337897,imTE,0.004,0.047733333333333336
MIF-LRP2,MIF,LRP2,MIF-LRP2,0.9375473160533492,mmTE,0.001,0.012785714285714286
AGRN-LRP2,AGRN,LRP2,AGRN-LRP2,0.7079457935929068,mmTE,0.001,0.012785714285714286
ARPC5-LRP2,ARPC5,LRP2,ARPC5-LRP2,0.7026289912342546,mmTE,0.001,0.012785714285714286
VTN-HSP90AA1,VTN,HSP90AA1,VTN-HSP90AA1,0.7012850409296576,udTE,0.001,0.012785714285714286
APOA4-LRP2,APOA4,LRP2,APOA4-LRP2,0.48733897198018605,mmTE,0.001,0.012785714285714286
MAPK3-ARF6,MAPK3,ARF6,MAPK3-ARF6,0.29050398136653277,udTE,0.001,0.012785714285714286
TTR-LRP2,TTR,LRP2,TTR-LRP2,0.11629290256306889,mmTE,0.001,0.012785714285714286
PNP-PAQR8,PNP,PAQR8,PNP-PAQR8,0.09780571434668635,mmTE,0.002,0.024689655172413793
EGFR-ARF6,EGFR,ARF6,EGFR-ARF6,0.07502681084477854,udTE,0.001,0.012785714285714286
MAPK3-CAPNS1,MAPK3,CAPNS1,MAPK3-CAPNS1,0.060016941964612866,mmTE,0.001,0.012785714285714286
MAPK3-CAPNS1,MAPK3,CAPNS1,MAPK3-CAPNS1,0.05173539082023091,udTE,0.001,0.012785714285714286
EGFR-HSP90AA1,EGFR,HSP90AA1,EGFR-HSP90AA1,0.04259220834583287,udTE,0.001,0.012785714285714286
SDF4-RPSA,SDF4,RPSA,SDF4-RPSA,0.021849742914415562,udTE,0.001,0.012785714285714286
A2M-RPSA,A2M,RPSA,A2M-RPSA,0.020600352920696247,udTE,0.001,0.012785714285714286
MIF-RPSA,MIF,RPSA,MIF-RPSA,0.0154355322931714,udTE,0.001,0.012785714285714286
LRPAP1-LRP2,LRPAP1,LRP2,LRPAP1-LRP2,0.011464881454316926,mmTE,0.001,0.012785714285714286
EIF6-RPSA,EIF6,RPSA,EIF6-RPSA,0.006959589883906791,udTE,0.001,0.012785714285714286
ALDOA-RPSA,ALDOA,RPSA,ALDOA-RPSA,0.006682591080896646,udTE,0.001,0.012785714285714286
PRDX4-RPSA,PRDX4,RPSA,PRDX4-RPSA,0.006461205676667071,udTE,0.001,0.012785714285714286
PLG-LRP2,PLG,LRP2,PLG-LRP2,0.003338774088626426,mmTE,0.001,0.012785714285714286
CALR-RPSA,CALR,RPSA,CALR-RPSA,0.0033268640663753307,udTE,0.001,0.012785714285714286
VCP-RPSA,VCP,RPSA,VCP-RPSA,0.0021198580447763216,udTE,0.001,0.012785714285714286
C3-RPSA,C3,RPSA,C3-RPSA,0.0010171802553293498,udTE,0.001,0.012785714285714286
ANXA1-RPSA,ANXA1,RPSA,ANXA1-RPSA,9.417082585410247e-05,udTE,0.001,0.012785714285714286
